stamp_s,phase,vt_s,warp,settle_blend,motor_id,q,q_des,err,qd,qd_des,qd_err,kp,kd,j_eff,tau_ff,tau_meas,pd_tau,total_tau,hold_ref_source,q_final,q_final_err,settle_vel_brake
1782898564.567251,trajectory,0.091512,1.000000,0.000000,5,0.001726151,0.001877796,0.000151645,0.019638062,-0.007500804,-0.027138865,15.000000,1.500000,,0.006331710,-0.004058838,-0.038433623,-0.032101913,q_final,,,1.000000
1782898564.567251,trajectory,0.091512,1.000000,0.000000,6,-0.009778976,-0.009288409,0.000490568,0.008560181,0.003469589,-0.005090592,12.000000,1.000000,,0.019580133,-0.008331299,0.000796219,0.020376353,q_final,,,1.000000
1782898564.579242,trajectory,0.103493,1.000000,0.000000,1,0.007862091,0.008403296,0.000541205,0.006042480,0.004509515,-0.001532965,35.000000,5.000000,,0.013355961,0.012710571,0.011277332,0.024633292,q_final,,,1.000000
1782898564.579242,trajectory,0.103493,1.000000,0.000000,2,-0.012463570,-0.010941702,0.001521867,-0.005798340,-0.000332616,0.005465724,25.000000,5.800000,,0.366003076,-0.152896881,0.069747875,0.435750951,q_final,,,1.000000
1782898564.579242,trajectory,0.103493,1.000000,0.000000,3,0.013230324,0.009532297,-0.003698027,0.044982910,-0.007048240,-0.052031150,40.000000,4.830000,,0.117034114,-0.074449539,-0.399231535,-0.282197421,q_final,,,1.000000
1782898564.579242,trajectory,0.103493,1.000000,0.000000,4,-0.002492905,-0.002594811,-0.000101906,-0.000671387,-0.002911713,-0.002240326,24.000000,2.250000,,-0.027810337,0.035018921,-0.007486487,-0.035296824,q_final,,,1.000000
1782898564.579242,trajectory,0.103493,1.000000,0.000000,5,0.001726151,0.001776005,0.000049855,-0.006546021,-0.009529542,-0.002983521,15.000000,1.500000,,-0.026582421,-0.016021729,-0.003727457,-0.030309878,q_final,,,1.000000
1782898564.579242,trajectory,0.103493,1.000000,0.000000,6,-0.009778976,-0.009241325,0.000537652,-0.039779663,0.004408007,0.044187670,12.000000,1.000000,,-0.019278639,0.006622314,0.050639492,0.031360853,q_final,,,1.000000
1782898564.591245,trajectory,0.115471,1.000000,0.000000,1,0.008245468,0.008463593,0.000218125,0.112121582,0.005576280,-0.106545302,35.000000,5.000000,,0.526180655,-0.019973755,-0.525092128,0.001088528,q_final,,,1.000000
1782898564.591245,trajectory,0.115471,1.000000,0.000000,2,-0.012846947,-0.010946150,0.001900797,0.010681152,-0.000411300,-0.011092452,25.000000,5.800000,,0.408974773,-0.140079498,-0.016816303,0.392158470,q_final,,,1.000000
1782898564.591245,trajectory,0.115471,1.000000,0.000000,3,0.013613701,0.009438053,-0.004175648,0.070495605,-0.008715562,-0.079211167,40.000000,4.830000,,0.192699061,-0.156419754,-0.549615849,-0.356916788,q_final,,,1.000000
1782898564.591245,trajectory,0.115471,1.000000,0.000000,4,-0.002492905,-0.002633744,-0.000140840,0.090637207,-0.003600504,-0.094237711,24.000000,2.250000,,0.157207559,-0.011154175,-0.215414999,-0.058207440,q_final,,,1.000000
1782898564.591245,trajectory,0.115471,1.000000,0.000000,5,0.001726151,0.001648584,-0.000077567,-0.024673462,-0.011783837,0.012889625,15.000000,1.500000,,-0.052240904,-0.027985573,0.018170936,-0.034069969,q_final,,,1.000000
1782898564.591245,trajectory,0.115471,1.000000,0.000000,6,-0.009778976,-0.009182384,0.000596592,-0.034744263,0.005450759,0.040195021,12.000000,1.000000,,-0.005040481,0.010894775,0.047354129,0.042313649,q_final,,,1.000000
1782898564.603246,trajectory,0.127441,1.000000,0.000000,1,0.008245468,0.008537246,0.000291778,0.046325684,0.006746874,-0.039578810,35.000000,5.000000,,0.359424111,-0.062517166,-0.187681819,0.171742292,q_final,,,1.000000
